log_id,member_id,news_id,ip_address,viewed_at
L000049,M0098,N0071,126.151.56.209,2022-12-28 22:49:13
L000050,M0019,N0077,100.71.220.252,2022-08-13 18:21:31
L000051,M0070,N0033,202.45.29.170,2022-02-10 01:09:13
L000052,M0046,N0031,175.83.5.45,2023-02-17 05:37:04
L000053,,N0095,153.135.30.191,2022-04-09 17:36:55
L000054,M0100,N0047,165.152.28.116,2024-02-22 16:28:04
L000055,M0079,N0006,193.201.233.222,2024-10-20 13:41:13
L000056,M0059,N0083,103.16.123.217,2023-09-16 21:22:35
L000057,M0014,N0063,191.233.114.19,2022-05-06 12:05:14
L000058,M0019,N0009,116.71.160.163,2024-06-28 07:58:38
L000059,M0042,N0049,176.136.76.117,2024-02-25 08:18:36
L000060,M0013,N0090,114.219.168.167,2024-05-06 11:16:01
L000061,M0028,N0056,157.228.59.106,2023-06-11 12:17:11
L000062,M0052,N0054,193.25.81.110,2023-05-01 11:43:23
L000063,M0048,N0020,187.237.122.18,2022-05-22 17:06:23
L000064,M0012,N0056,112.191.190.96,2022-07-22 03:03:20
L000065,M0076,N0072,171.85.172.32,2023-10-01 04:03:21
L000066,M0086,N0097,154.223.235.185,2022-03-21 22:02:55
L000067,M0077,N0040,145.27.148.130,2022-11-27 11:28:39
L000068,M0062,N0029,208.28.90.217,2024-05-14 03:04:48
L000069,M0098,N0036,173.58.207.110,2024-05-21 10:19:01
L000070,M0080,N0079,186.165.143.7,2024-08-04 00:58:33
L000071,M0089,N0035,103.47.70.180,2023-04-25 23:47:02
L000072,M0045,N0001,123.223.37.145,2024-10-18 03:35:03
L000073,M0019,N0095,181.249.8.24,2024-04-04 01:49:41
L000074,M0054,N0059,143.41.95.80,2023-05-19 21:52:14
L000075,M0073,N0077,110.227.14.40,2022-09-02 12:39:58
L000076,M0007,N0087,110.70.114.170,2023-10-21 16:24:59
L000077,M0057,N0054,134.56.194.132,2022-06-26 19:25:27
L000078,M0015,N0037,186.174.152.125,2024-03-29 13:31:38
L000079,M0006,N0029,150.253.154.15,2022-01-12 22:35:43
L000080,M0028,N0099,117.196.66.75,2023-05-25 17:17:17
L000081,M0064,N0096,155.45.34.98,2024-04-07 08:06:32
L000082,M0065,N0072,206.172.207.91,2022-04-22 23:10:09
L000083,M0095,N0006,155.5.118.236,2022-05-01 22:55:42
L000084,M0074,N0055,173.104.182.164,2023-10-11 20:45:34
L000085,M0052,N0003,141.44.206.243,2024-08-18 05:22:48
L000086,M0089,N0047,111.112.217.28,2023-01-13 23:29:44
L000087,M0052,N0068,110.102.223.80,2023-06-12 09:58:21
L000088,M0100,N0022,109.131.163.30,2024-04-04 06:22:53
L000089,M0100,N0045,144.187.246.210,2024-09-29 15:51:29
L000090,M0031,N0014,118.66.51.45,2024-07-24 19:03:43
L000091,M0098,N0084,109.46.244.198,2024-09-02 11:37:37
L000092,M0097,N0073,197.149.115.175,2024-05-26 21:46:44
L000093,M0080,N0042,210.249.161.81,2022-08-23 12:05:59
L000094,M0061,N0057,180.78.204.71,2024-07-07 17:43:36
L000095,,N0065,109.80.119.116,2022-02-28 10:05:59
L000096,,N0037,109.166.222.251,2022-05-21 06:29:51
L000097,M0065,N0050,159.149.142.245,2022-03-05 17:26:15
L000098,M0074,N0084,124.83.155.122,2024-02-18 20:19:40
L000099,M0008,N0058,113.208.231.215,2023-06-18 12:17:17
L000100,M0011,N0065,182.45.11.64,2023-11-12 00:48:40
