member_id,age,gender,region,joined_at,updated_at
M0039,23,F,New Plymouth,2024-04-07 12:43:31,2024-05-26 08:53:53
M0040,48,F,Palmerston North,2022-09-14 12:22:45,2023-10-31 06:24:23
M0041,60,F,Nelson,2024-04-17 18:24:55,2024-07-04 21:16:44
M0042,43,F,Tauranga,2024-11-09 10:18:17,2024-12-15 16:26:15
M0043,19,F,Hamilton,2023-01-21 02:35:28,2023-07-14 15:15:11
M0044,29,M,Hamilton,2024-07-02 21:44:19,2024-10-18 11:12:00
M0045,18,M,Tauranga,2022-04-21 06:48:50,2024-12-26 16:02:15
M0046,19,M,Napier,2022-02-18 19:09:35,2023-07-17 02:25:36
M0047,28,M,Whangarei,2024-11-05 05:17:57,2024-12-22 08:23:48
M0048,30,F,Nelson,2024-06-06 02:01:46,2024-12-06 15:38:33
M0049,21,F,Hastings,2022-10-23 18:59:46,2023-03-19 07:43:00
M0050,44,M,Invercargill,2023-10-21 00:09:20,2024-09-04 07:39:26
M0051,21,M,Nelson,2024-10-12 02:35:10,2024-12-13 20:17:38
M0052,30,M,Palmerston North,2023-06-12 02:07:04,2023-09-04 23:02:24
M0053,23,F,Dunedin,2024-04-13 02:10:55,2024-10-04 07:33:47
M0054,30,M,Rotorua,2023-03-09 16:54:56,2024-03-03 00:55:40
M0055,18,M,Tauranga,2024-05-04 21:36:53,2024-06-11 22:11:24
M0056,41,F,Rotorua,2023-01-03 04:51:58,2023-05-12 09:07:47
M0057,40,M,Dunedin,2022-11-29 01:04:36,2024-09-30 15:19:41
M0058,39,F,Rotorua,2023-08-12 17:08:31,2023-08-14 09:19:15
M0059,59,F,Dunedin,2023-03-20 02:51:43,2024-02-11 16:17:34
M0060,28,M,Whanganui,2022-10-22 23:54:20,2024-01-26 21:58:30
M0061,62,F,Hamilton,2024-04-22 06:30:08,2024-05-15 22:40:04
M0062,45,M,Hamilton,2022-03-19 21:26:30,2024-09-12 09:09:39
M0063,69,M,Tauranga,2024-02-28 21:13:07,2024-03-30 23:54:41
M0064,58,M,Nelson,2024-07-13 08:31:00,2024-07-26 13:14:14
M0065,30,M,Whanganui,2022-07-06 05:41:48,2024-12-07 04:44:07
M0066,57,F,Napier,2022-05-08 08:33:46,2024-02-18 14:24:01
M0067,30,F,Nelson,2022-11-14 07:20:05,2024-03-16 08:57:29
M0068,44,F,Tauranga,2022-07-23 07:29:45,2023-11-01 08:11:51
M0069,54,M,Tauranga,2022-01-15 11:18:19,2023-12-28 09:25:40
M0070,47,F,Dunedin,2024-04-15 04:27:48,2024-07-06 23:12:19
M0071,71,M,Hastings,2023-06-27 03:59:32,2023-08-19 14:21:18
M0072,43,F,Whanganui,2023-03-19 17:06:00,2023-07-20 05:42:50
M0073,15,F,Invercargill,2024-10-12 22:00:15,2024-12-03 06:31:31
M0074,31,M,Tauranga,2022-06-10 21:59:04,2023-01-05 12:43:12
M0075,32,F,Whanganui,2024-05-09 09:40:20,2024-07-08 18:33:06
M0076,36,M,Invercargill,2022-11-24 04:50:33,2024-06-03 14:06:11
M0077,47,F,Napier,2024-09-12 06:06:17,2024-11-02 12:21:31
M0078,55,F,Napier,2022-03-20 21:55:12,2022-08-11 07:03:22
M0079,36,M,Invercargill,2022-03-10 11:40:25,2022-03-15 23:51:59
M0080,62,F,New Plymouth,2023-02-11 22:24:00,2023-06-17 10:30:22
M0081,22,M,Whangarei,2023-10-27 09:19:26,2023-11-03 21:34:48
M0082,17,F,Whanganui,2022-08-20 13:08:47,2024-12-15 02:13:36
M0083,42,M,Hamilton,2024-05-08 07:37:43,2024-07-04 19:57:45
M0084,72,M,Hastings,2023-04-24 20:42:15,2024-02-02 02:18:03
M0085,30,M,Hastings,2022-11-23 08:13:15,2024-05-06 02:51:55
M0086,54,M,Palmerston North,2024-05-19 17:58:13,2024-10-24 13:40:55
M0087,71,F,Hamilton,2022-09-10 10:30:17,2023-06-12 11:29:43
M0088,65,F,Invercargill,2022-10-06 15:03:00,2024-03-05 15:49:18
M0089,25,M,Nelson,2023-01-21 12:20:43,2023-08-16 17:57:51
M0090,29,M,Rotorua,2022-03-02 03:45:28,2024-03-02 08:21:13
M0091,67,M,Palmerston North,2023-06-28 04:12:39,2024-02-20 05:22:51
M0092,27,F,Hastings,2022-02-06 18:16:26,2024-11-28 02:05:40
M0093,64,F,Hastings,2023-03-09 19:04:29,2023-05-02 17:10:16
M0094,58,F,Hamilton,2024-09-23 12:10:21,2024-12-10 02:48:31
M0095,26,F,Hamilton,2022-06-29 04:15:07,2023-08-08 23:03:37
M0096,37,F,Nelson,2022-06-18 09:32:23,2024-04-23 11:15:03
M0097,22,F,Whanganui,2024-07-30 17:06:14,2024-11-07 00:30:29
M0098,17,F,Hamilton,2022-10-23 06:39:01,2023-11-22 23:23:37
M0099,58,M,Hastings,2024-03-18 16:02:07,2024-10-13 18:46:17
M0100,75,F,Whanganui,2023-11-01 23:55:57,2023-12-26 08:20:19
